article,highlights
"LONDON, England -- Milan goalkeeper Dida has been cleared to play in next month's Champions League match at Shakhtar Donetsk after partially winning his appeal to UEFA against a two-match ban. Dida has had one game of his two-match ban suspended for a year following an appeal to UEFA. Brazilian Dida was also fined 60,000 Swiss francs by European football's ruling body following an incident involving a supporter during the Champions clash against Celtic in Scotland on October 3. The 34-year-old Brazilian was initially banned for two games for his theatrics following a Celtic fan's encroachment onto the pitch during the 2-1 defeat at Celtic Park. ""Following Monday's appeals hearing, Dida is suspended for two matches, but one of the matches will now be deferred for a probationary period of one year,"" said a stement on UEFA's Web site. Dida sits out the home tie against Shakhtar on Wednesday after an inquiry based on Article 5, paragraph 1 of the UEFA disciplinary regulations (Principles of conduct), under which ""member associations, clubs, as well as their players, officials and members, shall conduct themselves according to the principles of loyalty, integrity and sportsmanship"". However, Dida will only serve the second match of his ban if he commits a similar offense -- a theatrical over-reaction --during the next 12 months, freeing him for the trip to Ukraine. UEFA said that their Appeals Body ""took note that Dida expressed his sincere regrets as regards his conduct during the match."" AC Milan vice-president Adriano Galliani was satisfied with UEFA's decision. ""I believe it is fair -- I was against the two-game suspension but one seems OK. ""Dida has made a mistake but his error did not hinder anyone, not Celtic, nor any player,"" said Galliani.  E-mail to a friend .","Milan goalkeeper Dida is partially successful against two-match UEFA ban .
Dida misses Wednesday's home Champions League tie against Shakhtar .
Second game of ban suspended for one year freeing him for return in Ukraine ."
"JOHANNESBURG, South Africa (CNN) -- Reggae legend Lucky Dube, one of South Africa's most famous musicians, was killed in an attempted car-jacking as he dropped his children off at a relative's house, his record label said Friday. Reggae star Lucky Dube was much loved by his fellow South Africans. Dube, 43, was killed in Johannesburg around 8 p.m. local time Thursday after someone tried to steal his car, Gallo Record Company said in a statement. Police said he was shot. The statement said Dube attempted to escape but died almost instantly from his wounds. Dube was much loved by his fellow South Africans, and his death cast a shadow over festivities ahead of South Africa's highly-anticipated appearance in the rugby World Cup final with England this weekend. News of his death was the headline in many Friday newspapers, knocking the World Cup off the front pages for the first time in days. Callers to talk radio stations suggested the Springboks wear black armbands in remembrance of Dube when they take to the field Saturday in Paris. Gallo Records called the death ""senseless and random,"" and it was not clear whether Dube's attackers knew who he was. South Africa is one of the most dangerous societies in the world. Figures from the South African Police Service show that from April 2006 to March 2007, more than 19,000 South Africans were murdered, more than 52,600 people were raped, and nearly 13,600 people were carjacked. ""It's very sad,"" said Mark Sutherland, London bureau chief for Billboard Magazine. ""He's a big loss to the South African music business. (He was) one of their most successful artists and certainly one of their leading reggae artists."" Sutherland said Dube was an extremely respected musician who toured extensively around the world. Dube had just returned from a tour of the United States that stretched from California to New York. His record company said Dube leaves ""a great void"" in the music industry after a 25-year career. Dube recorded 22 albums in Zulu, English and Afrikaans. Born outside Johannesburg in 1964, Dube was named ""Lucky"" by his mother because he was the first child to be born after several failed pregnancies. Dube started singing in 1982, joining a band playing Mbaqanga, or traditional Zulu music. It was only later that he began recording reggae tracks as a solo singer, but the genre was to dominate and define the remainder of his career. Ivor Haarburger, the chief exectutive of Gallo Music Group, said he was deeply saddened by the loss. ""Lucky was not just an extraordinary artist, he was a personal friend,"" Haarburger said. ""It's so sad to lose such a great friend and so tragically."" Dube is survived by his wife, Zanele, and his seven children: Bongi, Nonkululeko, Thokozani, Laura, Siyanda, Philani and three-month old Melokuhle. E-mail to a friend . CNN correspondent Robin Curnow contributed to this report.","South African reggae legend Lucky Dube killed in attempted hijacking .
Dube, 43, killed Thursday in Johannesburg after hijacker tried to steal his car .
Death casts shadow over South Africa's preparations for rugby World Cup final ."
"(CNN)  -- Brendon Pelser said he saw pure terror in the faces of his fellow passengers after an engine fell from a wing as it took off from Cape Town, South Africa, Wednesday. Men were sweating profusely, women were crying. ""There was fear on their faces,"" Pelser said. ""Everyone started panicking."" But the pilot of Nationwide Airlines' Boeing 737 Flight CE723 was able to fly long enough to dump fuel and make an emergency landing at Cape Town International Airport. Including crew, 100 hundred people were on the plane that departed at 3:50 p.m. on an hourlong flight to Johannesburg, South Africa. No one was injured. The jet had only been in the air about 10 minutes before the engine fell. ""We heard something crash and bang, the plane veering left and right. A person on the right side said the engine was missing -- had broken clean off,"" said Pelser.  Watch Pelser describe how the flight crew told passengers to ""prepare for the worst"" » . ""They flew us in very slowly. We were all prepared for the worst. We went into the fetal position, head between the legs,"" he said. ""Then we hit the runway."" ""I did kind of pray. I didn't want to die. I'm not really ready to die,"" the 33-year-old said. An object had been sucked into the engine as the nose wheel lifted from the ground and officials are trying to identify it. The engine-to-wing supporting structure is designed to release an engine ""when extreme forces are applied,"" to prevent structural damage to the wing, Nationwide said on its Web site. The airline described the incident as a ""catastrophic engine failure."" As the nose wheel lifted from the ground, ""the captain heard a loud noise immediately followed by a yaw of the aircraft (sideways slippage) to the right,"" the airline said in a news release. The flight instruments showed the No. 2 engine on the right side had failed, it said. Pelser said he spent the night in Cape Town, then flew back to Johannesburg where he lives, on the same airline. Nationwide said the engine had undergone a major overhaul in March 2005 at ""an approved Federal Aviation Authority facility in the U.S.A."" and had flown only 3,806 hours since then. ""These engines typically achieve 10,000 hours between major overhauls,"" Nationwide Airlines' press release stated. E-mail to a friend .","Nationwide Airlines pilot dumped fuel until he landed plane Wednesday .
An object was sucked into the engine as the nose wheel lifted from the ground .
100, including crew, were on the plane; no one was injured .
Plane passenger: ""Everyone started panicking"""
"(CNN) -- Federal Emergency Management Agency officials know the agency's performance in the California wildfires will be watched closely for comparisons to its failures in Hurricane Katrina. A volunteer distributes donated food and supplies to evacueesTuesday at San Diego's Qualcomm Stadium. FEMA Director David Paulison promised on Tuesday ""a different type of response than the federal government put together for Katrina."" Paulison said Katrina ""was a wake-up call"" and that ""this is a new FEMA."" President Bush signed a federal disaster declaration Wednesday, freeing up federal funds for families affected by the wildfires in seven counties in Southern California. ""I will continue to make sure that our efforts are coordinated, that we are responding to the needs of people, but most importantly I want the people in Southern California to know that Americans all across this land care deeply about them,"" he said. The action follows an emergency declaration by Bush on Tuesday morning for the counties of Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. He said he's ""looking forward"" to his visit to the region on Thursday. According to a statement from the White House, the federal disaster declaration will allow for federal aid that ""can include grants for temporary housing and home repairs, low-cost loans to cover uninsured property losses, and other programs to help individuals and business owners recover from the effects of the disaster."" FEMA and other relief and rescue services face significantly different challenges in the fire zone than they did on the Gulf Coast in 2005. For example, the fires aren't covering every square foot of the region, as Katrina did. The devastation in California is intense but not universal. During and immediately after Katrina, the destruction was so complete that relief personnel and supplies -- even the U.S. Army -- could not get within miles of the disaster's epicenter, New Orleans' Lower Ninth Ward, for several days. By contrast, roads in Southern California have remained open for residents to get out and help to get in without delay. Residents there are generally more affluent and are able to use their own vehicles to escape, whereas many of Katrina's victims were poor and had no means of transportation. Victims in California are not stranded on rooftops without food or drinkable water, but are able travel the relatively short distances to safe places. One of those safe places is San Diego's Qualcomm Stadium, which is not endangered by the fires. FEMA and other relief agencies are able to stage supplies and meet victims' needs in an organized way. New Orleans' Superdome, on the other hand, sitting in the center of the disaster zone, was severely damaged by hurricane winds and threatened by rising water. What had been a shelter devolved into a trap. Katrina also wiped out the Gulf Coast's communications infrastructure, crippling the coordination of relief efforts -- even for the military. Homeland Security Secretary Michael Chertoff acknowledged Tuesday that the government's response machinery had benefited from the Katrina experience. ""I think there's no question that [there were] a couple of the lessons from Katrina which we have put into effect here,"" Chertoff said. ""First of all, planning and preparation in advance for these kinds of challenges, so that we have worked together and planned together with the Defense Department and with state authorities well in advance of the crisis. That's been a big help here,"" Chertoff said . ""Second, we have really flooded the zone as quickly as possible by staging assets to deal both with the firefighting issue and with the response issue,"" Chertoff said. Chertoff said federal officials began discussing over the weekend the need to have FEMA ready, ""and as we saw the evacuation issue becoming more prominent, and the number of people seeking shelter becoming more prominent, we sprang into action yesterday. ""So we've been monitoring the situation continuously. The president's been on top of it. We've been on top of it. And we're going to continue to stay ahead of this as far as we can."" Chertoff said Tuesday that he hadn't waited for the paperwork to be signed before staging assistance. ""We have been moving cots, blankets, other supplies into the area of San Diego so that we can handle any necessity for additional sheltering capacity,"" he said. ""We've also moved air assets to be poised to take flight when we do have the opportunity to deal with the fire, once the winds begin to die down."" People left homeless by the fires can already go online to apply for federal help at www.fema.gov, Paulison said.  Watch Paulison discuss the ""new FEMA"" » . He denied suggestions similar to those made in the aftermath of Katrina that the federal response was hampered because National Guard equipment was in short supply because of the Iraq War. ""I just haven't seen that,"" he said. The U.S. military has sent aircraft to help fight the fires, including 11 Defense Department helicopters equipped with water buckets and six C-130 aircraft able to drop water and flame retardant. More than 17,000 National Guardsmen have been made available; 550 Marines were ready for deployment from Camp Pendleton, north of San Diego; and 12 Defense Department firefighting teams, were engaged. E-mail to a friend .","FEMA doesn't face utter devastation as in Gulf Coast in 2005 .
Victims can escape in own vehicles on open roads .
Communications infrastructure remains intact .
Agencies learn from Hurricane Katrina mistakes ."
"(CNN) -- The late Chris Benoit idolized the Dynamite Kid, who was half of a professional wrestling team famous in the 1980s for spectacular high-flying, acrobatic moves. Chris Benoit strangled his wife and suffocated his son before hanging himself in June. The Dynamite Kid and his partner, Davey Boy Smith, were known as the British Bulldogs. They were quick, agile and muscular, and in 1986 they won the World Wrestling Federation tag team championship. Young Benoit dreamed of wrestling like the Dynamite Kid, whose real name is Tom Billington. At the beginning of his career, Benoit adopted the Dynamite nickname and copied his idol's signature moves. In June, Benoit murdered his wife and young son before hanging himself. Investigators found testosterone, painkillers and anti-anxiety drugs in Chris Benoit's body, Georgia's chief medical examiner said a month later. When asked about Benoit's double murder-suicide, Billington told CNN, ""It can make you aggressive, the steroids. But personally I wouldn't, you know, kill no bleeding kid, or wife either."" Billington now lives in a public housing apartment outside Manchester, England. He has lost the use of his legs. A pin sticks out from one of his toes. Billington blames his wrestling life for doing this to him -- wrestling and the fact that he ignored doctors who told him to stop the punishment to his body. And from the steroids, he said. Billington told CNN that the steroids came from doctors, from friends, even from steroids meant for horses. He took them all, took a terrible pounding in the ring, and like his partner (who died at age 39 in 2002), began taking extensive amounts of painkillers. Benoit's death has refocused a media spotlight on the organization for which he wrestled, now known as World Wrestling Entertainment, and the man who has ruled wrestling for years, Chairman of the Board Vince McMahon. McMahon, appearing with Linda McMahon, his wife and WWE CEO, told CNN: ""Nothing from the WWE, under any set of circumstances had anything to do with Chris Benoit murdering his family. How did we know Chris Benoit would turn into a monster."" Read a full transcript of the McMahons interview . Vince McMahon defended the organization, saying its drug-testing policy was not just for show. ""Our policy stacks up just as well as anyone else's in sport, although again emphasizing we are entertainment, and no one in entertainment, no one has this kind of wellness policy,"" McMahon said. Critics say McMahon pushes his stars and non-stars, works them too many nights per year and has encouraged the large physiques prevalent in modern wrestling. They say McMahon only looks at his employees as commodities, pawns in a huge business. His businesses are quite successful. About 16 million people a week tune into WWE TV shows. Two of their cable programs -- ""Raw"" and ""Friday Night Smackdown"" -- are weekly ratings giants. Pay-per-view specials generate an average of $100 million per year. When asked about the high number of former wrestlers who had died before they turned 50 years old, Vince McMahon said each person in the WWE bore responsibility for their own lives -- especially outside the arena. ""If someone passes through our organization, it is not our responsibility for someone's personal activities,"" he said. He also said there isn't ""any organization in the world, be it entertainment or be it sport, that can tell you that they are totally drug-free.""  Watch as a WWE wrestler says the perception of steroid use is wrong » . The McMahons said the WWE is taking steps toward improving its oversight of its athletes. Since the newest WWE drug screening program began in February 2006, more than 30 of the organization's wrestlers have been suspended, including two since CNN's interview with the McMahons. David Black -- who helped the NFL develop its drug program and now runs tests for the WWE -- says twice that number have tested positive and been given a warning. But Dr. Gary Wadler, a world-renowned expert in the study of drugs and athletes, says the WWE is not doing enough. ""It certainly falls far, far short of where it needs to be,"" he said. ""And there is a gold standard, and I measure all these sporting and entertainment activities against this gold standard. And [the WWE is] miles apart."" Wadler, a longtime critic of McMahon, was referring to the U.S. Anti-Doping Agency in Colorado Springs, Colorado. U.S. athletes training for the Olympics are randomly tested and, if caught just once, face a two-year suspension from competition. If caught a second time, they can be banned for life. Black's programs test wrestlers four times a year. The first is a ""baseline"" test, according to the WWE. Black then tests for ""nonmedical"" uses, meaning that if an athlete has a prescription, he is cleared. ""It's just a loophole that in my mind guts the entire program,"" said Travis Tygart, who heads the U.S. Anti-Doping Agency. McMahon denies that his wrestlers are pushed to use steroids. He says the average wrestler is lighter than in recent years.  Watch one of the new WWE stars talk about being ""straight edge"" » . ""There's an expression in our business, that here is where you make your money. It's your face, it's what you do with it,"" he said. ""It's your personality, it's what you do with it. It's your delivery, your elocution. It's storyline, it's things, all those things that are theatrical as well as athletic in the ring."" E-mail to a friend . CNN's Drew Griffin contributed to this report.","Vince McMahon: WWE has one of best drug-testing programs .
Wrestling boss tells CNN that individuals bear responsibility for actions .
Critics say WWE penalties for drug use are not harsh enough .
Wrestlers still can get drugs if they have prescriptions from doctors ."
"(Mental Floss) -- Everyone goes through a rebellious phase. And, if you're lucky, you'll be able to look back on those years and laugh. If you're less lucky, you spent those years on a reality show, so for the rest of time, millions of strangers can look back on them and laugh instead. In modern times, cats frolic among the ruins of ancient Rome. But, hey, it could be worse. You could be responsible for the fall of Western Civilization, just like Justa Grata Honoria, the Roman princess whose wild ways and (literally) naked ambition set off a chain reaction that culminated in the destruction of the Roman Empire. Barely regal . Smart, conniving, and ruthless, Honoria possessed all the attributes befitting a Roman emperor, except for that pesky Y chromosome. As a young girl, she watched as her dimwitted six-year-old brother, Valentinian III, was crowned emperor of the Western Roman Empire, while she was set aside to await a suitable marriage. Hardly content to lead a quiet and chaste life, Honoria rebelled with aplomb, sleeping her way through the royal court while still in her teens. Although her after-hours habits caused quite the scandal, they failed to satiate her need for attention and power, so Honoria set her eyes on the throne. Employing her ample charms, she seduced her brother's royal chamberlain, Eugenius, and together, they plotted to murder Valentinian and seize power. But, alas, their scheme was soon exposed. Eugenius was executed, and Honoria was sent to a convent in Constantinople. Life as a nun was a fate worse than death for Honoria, but even that couldn't quell her ambition. She spent her years at the nunnery plotting one escape attempt after another. Finally, out of sheer desperation, she turned to sources outside the empire. Her savior would have to be powerful enough to defy Valentinian and risk open war with Rome. Only one man fit that description: Attila, king of the Huns. Attila the hubby . Honoria got the barbarian's attention with a mutually beneficial proposal: If Attila would rescue her, she would marry him, and he would get half of the Western Empire as her dowry. Of course, Honoria was in no position to rightfully offer any portion of the Roman Empire. But she was betting that after marrying her, Attila would conquer the whole Empire, and she'd become queen to boot. Attila had secretly been planning a move against Rome for years, and Honoria's letter gave him the perfect opportunity to strike. Wasting no time, he told Valentinian that he planned to marry Honoria, and demanded the dowry he'd been promised. Naturally, Valentinian refused, and Attila used his status as a ""wronged husband"" to invade Roman territory in 451 C.E. The Hun armies quickly swept through the Empire, destroying everything in their path, and eventually they arrived in Rome. Like all the other cities before it, Rome would also have been annihilated were it not for the famine and disease that devastated the Huns during the invasion. Rome survived Attila's assault with the unlikely help of another nomadic enemy tribe, the Visigoths, but the Western Empire never recovered. Within a generation, the armies of the Goths, Franks, and Huns had overrun the area. The Princess bride . Ultimately, Honoria became neither Roman empress nor a Hun queen. Attila never rescued her, and she was eventually sent back to Rome and left to her brother's justice. Not wanting to cause a scandal by having her executed, and unwilling to send her back into exile where she could scheme again, Valentinian settled on a suitable third option. After years of struggle, Honoria finally suffered the fate she had been dreading all along: She was married off to an elderly Roman senator, and the rest of her life went unrecorded by history. E-mail to a friend . For more mental_floss articles, visit mentalfloss.com . Entire contents of this article copyright, Mental Floss LLC. All rights reserved.","Justa Grata Honoria plotted to kill her emperor of Roman Empire .
When first plot failed, she offered to marry Attila the Hun .
He failed to annihilate Rome, or marry her .
She then suffered the fate she dreaded ."
"LONDON, England (CNN) -- Football dignitaries gathered in Sheffield, northern England, on Wednesday to kick off the 150th birthday celebrations of Sheffield FC -- the sport's oldest club. FIFA chief Blatter was among those in Sheffield to kick off the 150th birthday celebrations of football's oldest club. Guests of honor at a service at Sheffield Cathedral included Sepp Blatter, president of football world governing body FIFA, and Massimo Moratti, president of Italian giants Inter Milan who are scheduled to play a friendly against Sheffield FC next month. Other guests attending a dinner in the club's honor included Real Madrid President Ramon Calderon and England and Manchester United legend Bobby Charlton. Pele -- widely recognized as the greatest footballer ever to play the game -- is also due in town next month to attend Sheffield FC's clash with Inter. Blatter was unveiling a bust of the club's co-founder William Prest -- one of two cricket fans who founded Sheffield FC, then known simply as Sheffield Club, on October 24, 1857 after deciding they needed a new sport to keep them active during the winter. Many more football clubs soon sprung up and by 1862 there were said to be 15 in and around the Sheffield area. The Football Association -- which codified the basic rules of the modern game -- was established in London the following year. Sheffield FC was instrumental in developing set rules for the game. The club studied existing rules and laid down a code of laws, which formed the foundation of the first commonly-accepted set of rules for the sport, according to the Sheffield FC Web site. The team was also responsible for several innovations in the game -- including heading, which was unheard of until 1875, when Sheffield traveled to London for a game. According to the team's Web site, the sight of the Sheffield players using their foreheads in addition to their feet reduced the London crowd to hysterics. Other innovations attributed to the team include the solid crossbar on the goal, corner kicks, free kicks for fouls, and playing a match under floodlights. Despite its celebrated place in the history of the world's most popular sport, Sheffield FC has never played at a professional level. The club currently competes in the Unibond League's First Division South, seven divisions beneath the English Premier League. The city of Sheffield has two professional clubs -- United and Wednesday -- who both currently play in English football's second tier, the Coca-Cola Championship. Sheffield FC's proudest achievement on the pitch came in 1904 when the team beat Ealing 3-1 to win the FA Amateur Cup in front of 6,000 people. But 100 years later in 2004, Blatter presented Sheffield FC with FIFA's ""Order of Merit"" -- an honor previously awarded only to the nine-time European champions Real Madrid. E-mail to a friend .","FIFA President Sepp Blatter among guests marking Sheffield FC's 150 years .
English side Sheffield FC recognized as the oldest football club in the world .
Club is one of two to win FIFA's Order of Merit -- the other is Real Madrid ."
"(RealSimple.com) -- Why shoes are called ""pumps"" and other strange-but-true stories behind the clothes and accessories you know and love. So, how did the trend for pointed-toe shoes start? Manolo who? Long before they ever made an appearance on the TV show ""Sex and the City,"" pointed shoes were favored by Polish nobles, who introduced the fashion to England on a diplomatic visit in the 1300s. The shoes, dubbed ""crackowes"" or ""poulaines"" -- after Kraków, Poland -- were so long that a chain running from the toe to the knee was often required to keep them from dragging. In 1363 the English attempted to rein in the look by law, assigning shoe spans to social classes. Commoners could sport footwear with toes of up to six inches, while those in the royal ranks were allowed a full two feet in length. Who invented the sports bra? In 1977 University of Vermont student Lisa Lindahl was running 30 miles a week -- and her bra wasn't holding up. With the help of two classmates, Lindahl sewed together two jock straps and -- presto! -- the sports bra was born. The coeds founded the company Jogbra a year later, garnering eternal gratitude from exercise-loving women everywhere. Almost 40,000 sports bras are now sold annually. Real Simple: Best bras for every figure . Is there a real Mary Jane behind Mary Jane shoes? Not quite: The most widely held theory is that the single-strapped footwear was named for a character in ""Buster Brown,"" a children's comic strip that was popular in the early 1900s. Mary Jane was either Buster Brown's sweetheart or sister, depending on which source you consult. What's the connection between Shakespeare and raincoats? Gabardine, a water-repellent fabric invented by Burberry, got its first mention from Shakespeare. The Bard used the word in The Merchant of Venice to refer to a coarse cloak worn as protection from storms. During World War I, British officers on the front lines kept warm and dry in a uniform coat made of the material -- the original Burberry trench. Who was the first person known to have pierced ears? No one knows who originated the style, but there's evidence that as early as 2500 B.C. Sumerian women wore pierced earrings -- gold half-moon hoops. And guys tired of defending their diamond studs can rest easy: Men have been wearing earrings since ancient Egypt, where the jewelry was introduced in 1500 B.C. Real Simple: Best way to clean jewelry . What was the inspiration for Lilly Pulitzer's colorful printed dresses? Bored Palm Beach socialite Lilly Pulitzer opened a juice stand in 1959 to pass the time, but she found one drawback: The citrus concoctions discolored her clothes. She instructed her dressmaker to create a uniform that would camouflage the bright stains, and the ""Lilly"" design -- sleeveless cotton shifts in vibrant prints -- was born. The style was an instant hit with customers, who soon began placing more orders for dresses than juice. How did pumps, stilettos, and sneakers get their names? The term pump first popped up in 1550 in England, where male servants sported the style. It is said that the noise they made while wearing the loose-fitting shoes resembled the sound of a water pump. The word sneaker entered the language in the 1870s; the rubber soles made the shoes quiet and therefore ""sneaky."" The modern usage of stiletto, a Renaissance-era Italian word for an assassin's narrow-bladed knife, made its debut in 1953. The word turned out to be especially appropriate, because the shoes' pointy heels were murder on wooden floors. When did folks start toting around umbrellas? For thousands of years, in such places as Egypt, China, Japan, Mesopotamia, and India, umbrellas were used exclusively to shade the heads of dignitaries from the broiling sun. (When it rained, the well-to-do stayed dry in covered carriages and sedan chairs.) Umbrellas weren't employed in inclement weather until the late 17th and early 18th centuries. And another hundred years passed before advances in manufacturing made them lightweight, portable, and available to average Joes. Have bikinis always been so popular? Hardly! Named for the nuclear-testing site Bikini Atoll, the suits first appeared in 1946, but American women thought them immodest. Not until the 1960s were they accepted, possibly helped by the hit song ""Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini."" Were French cuffs really created for the battlefield? It is said that the cuffs were designed to be used as handkerchiefs in combat. But, in fact, French royalty invented the style in the 1500s, when flowing sleeves were the rage; nobles would tie their sleeves back with fasteners. Amusingly, the competitive English tried to take credit for the fashion, which to this day they refer to only as ""double cuffs."" Have women always carried purses? Once upon a time, ladies stored their essentials in a little waist sack tied under their clothing (sort of an early ancestor of the fanny pack) and accessible through slits in their skirts. Around 1800, thinner, silkier fabrics and slimmer cuts came into vogue, and women could no longer hide the bulging sacks around their midsections. The solution? They began carrying their belongings in small pocketbooks instead. Why is underwear nicknamed ""drawers""? In the 16th century, drawers became a common term for both men's and women's underpants. Made of linen, the items were no-frills and looked more or less interchangeable (this being well before Victoria ever had a secret; decorative lace trim started appearing on the garments only in the middle of the 19th century). Most likely, underwear earned this distinctly unsexy epithet because it describes the way that people put on their unmentionables -- drawing them up and over the lower part of the body. Real Simple: Get your lingerie in order  E-mail to a friend . Get a FREE TRIAL issue of Real Simple - CLICK HERE ! Copyright 2007 Time Inc. All rights reserved.","Polish diplomats brought pointed shoes to Britain in 1300s .
A female runner sewed two jock straps together for first sports bra .
Men wore earrings in Egypt in 1500s ."
"BARCELONA, England -- Ronaldinho has been recalled to the Barcelona squad for Tuesday's Champions League match against Rangers in Glasgow. Ronaldinho was dropped from the Barcelona squad on Saturday for returning late from international duty. The Brazilian was omitted from the squad that lost 3-1 to Villarreal on Saturday after returning late from international duty, but he has been named in an 18-man party for the trip to Scotland. Barca will be without Deco for that match though, after the Portuguese suffered a thigh injury against Villarreal that will keep him sidelined for around five weeks. Also missing are Samuel Eto'o, Yaya Toure, Gianluca Zambrotta, Edmilson and Rafael Marquez as the Catalans travel to Scotland in a battle between the two sides with 100 per cent records in Group E. Barcelona squad: Valdes, Jorquera; Puyol, Thuram, Sylvinho, Oleguer, Abidal, Milito; Iniesta, Ronaldinho, Messi, Xavi, Giovani, Crosas; Henry, Ezquerro, Gudjohnsen, Bojan.   E-mail to a friend .","Ronaldinho is recalled to Barca squad to face Rangers in Champions League .
The Brazilian was dropped from the squad that lost to Villarreal on Saturday .
Midfielder Deco will be out of action for five weeks after suffering a thigh injury ."
"(CNN) -- At one point in Jared Hutchins' young life, the Beatles were a big problem. The rallies, which draw mostly teens, are one part concert, one part Christian revival. ""I had to stop listening to them for a while,"" said Hutchins, who lives in Cumming, Georgia, and plays the piano, guitar and harmonica. He said the group's world view ""had a negative effect on me,"" and made him irritable and angry. ""God owns my life, not the Beatles,"" he said simply. Although Hutchins said he enjoys a wide range of music -- from Pink Floyd and Arcade Fire to Christian bands such as Hillsong United -- he said he has to be careful of what music he listens to, for the same reason he temporarily turned off the Beatles. Hutchins, a 16-year-old graced with poise and thoughtfulness, is one of many teenagers who say that some part of popular culture, with its ubiquitous references to sex, drugs and violence, has harmed him. Last year, Hutchins and his Christian youth group attended an Acquire the Fire rally in Atlanta, Georgia, he said. Acquire the Fire -- regional rallies held across the country -- and BattleCry -- the larger rallies held this year in only three cities -- are the products of the evangelical Christian organization Teen Mania.  Go behind-the-scenes with CNN's Christiane Amanpour at a BattleCry event » . One part concert, one part Christian revival, the rallies seek to ""stage a reverse revolution"" against secular popular culture. They have the pull of headlining rock concerts, drawing thousands of people regardless of the region of the country, the month of year or the day of the week. The audiences are nearly always predominantly teenagers and young adults. From 2006 to 2007, a total of 127,830 people attended the 34 Acquire the Fire rallies, and 71,414 people attended the three BattleCry events held in San Francisco, California; Detroit, Michigan; and Bristow, Virginia, according to Teen Mania. Watch flags, fireworks and teens at rally . For Hutchins, who said he struggled in his early adolescence to fit in and be cool before having a personal experience with God about four years ago, the organization's message is exactly right. ""We don't have to be branded by the culture, we are branded by God,"" he said. ""Be who God created you to be."" But the glossy, glamorous appeal of popular culture too often obscures that path to God, Teen Mania followers say. And so, Ron Luce, the 46-year-old founder of the organization, has waged a modern-day crusade against ""purveyors of popular culture,"" whom he has condemned as ""the enemy."" More than two decades old, Teen Mania estimates it has reached more than 2 million teens with its message ""of living completely for Christ."" The organization is sprawling. In addition to its live stadium rallies, there are BattleCry shirts and hats, mobile screen savers, books and a television program. There are international mission trips -- Hutchins attended one in Tijuana, Mexico, this summer. There is even a Teen Mania internship, a one-year program called the Honor Academy, based in Lindale, Texas. In the live events, Luce couples the earnest appeal of a young father with a preacher's ability to mobilize a crowd. He weaves disturbing statistics about teenagers amid his gospel. Today's teenagers are in crisis, he says. ""We're fighting for those who don't know they have a voice, that are being manipulated by our pop culture indulging in things that, really, they're not mature enough to be thinking about yet,"" Luce told CNN. ""Kids are hurting,"" he said. And of those who he feels inflict these moral wounds, Luce said, ""We call them terrorists, virtue terrorists, that are destroying our kids."" ""They're raping virgin teenage America on the sidewalk, and everybody's walking by and acting like everything's OK. And it's just not OK."" To some, Luce's rhetoric is off-putting, hateful and divisive. Opponents point to his views on homosexuality -- not ""in God's plan"" -- and abortion -- the ""ending of a precious life"" -- and say Luce is imposing conservative values on vulnerable teenagers. Explore Americans' views on religion . It is this criticism that Luce and his followers confronted head-on in March at BattleCry San Francisco. There, in arguably the most liberal city in the United States, protesters, armed with megaphones and poster board signs, rallied against BattleCry on the steps of City Hall as the Christian teenagers circled and prayed in a demonstration of their own. ""Ron Luce is a liar!"" one protester shouted. ""Let me hear you say Christian fascist,"" another yelled. Luce and the youths, some as young as 11, also raised their voices. ""God, I ask that as we do this BattleCry, Lord, that you would reveal yourself to the teenagers, God, here, God,"" Mindy Peterson, shouted. Peterson is a member of Teen Mania's Honor Academy. Afterward, Peterson railed against what she said was the protesters' mischaracterization of BattleCry. ""These people think that our war is against other people. They think that our war is against man. And our war isn't. Our war's against ... the pain in teenagers' hearts, like depression, alcoholism. Those things that -- that are, like, tearing our teenagers apart,"" she said. While much milder in his terms, Hutchins agrees. ""We're a generation that is kind of troubled,"" he said. Luce wants to ""rescue the hearts of our generation,"" he added. And of the critics' contention that the rallies, the organization, the message is neo-conservatism wrapped in Biblical verse? Hutchins smiles, nods patiently. ""I don't go because I have a political agenda,"" he said, adding that his friends don't, either. ""Mostly, what we're concerned with is Jesus."" E-mail to a friend . CNN's Christiane Amanpour, Julie O'Neill and Taylor Gandossy contributed to this report.","Thousands of teens attend Christian rallies each year .
Many of the rallies attempt to offer an alternative to secular popular culture .
Opponents say these impose conservative values on vulnerable teenagers ."
